2025-08-24 21:46:02 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 21:47:07 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 21:48:32 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 21:53:23 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 21:53:23 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 21:53:48 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 21:53:48 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 21:54:15 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 21:54:16 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 21:57:21 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 21:57:21 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 21:58:14 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 21:58:14 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 21:58:57 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 21:58:58 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:00:27 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:00:27 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:16:01 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:16:03 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:16:48 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:16:51 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:17:29 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:17:30 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:18:17 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:18:18 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:25:08 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:25:08 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:26:22 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:26:23 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:27:04 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:27:05 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:35:21 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:35:22 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:38:41 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:38:42 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:41:30 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:41:31 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:41:58 | WARNING  | rexus.modules.usuarios.controller | No se pudo importar BaseController
2025-08-24 22:41:59 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:42:19 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-24 22:43:12 | WARNING  | rexus.modules.compras.controller | No se pudo importar BaseController
2025-08-25 17:27:13 | INFO     | rexus.modules.usuarios.controller | UsuariosController inicializado correctamente
2025-08-25 17:27:13 | INFO     | rexus.modules.usuarios.controller | UsuariosController inicializado
2025-08-26 09:09:13 | INFO     | rexus.modules.obras.view | [OBRAS] Tabla configurada correctamente
2025-08-26 12:36:08 | INFO     | rexus.modules.inventario.submodules | [SUBMODULOS INVENTARIO] __init__.py cargado (managers temporalmente deshabilitados)
2025-08-26 12:36:24 | INFO     | rexus.modules.inventario.submodules | [SUBMODULOS INVENTARIO] __init__.py cargado (managers temporalmente deshabilitados)
2025-08-26 12:36:28 | INFO     | rexus.modules.inventario.submodules | [SUBMODULOS INVENTARIO] __init__.py cargado (managers temporalmente deshabilitados)
2025-08-26 12:36:43 | INFO     | rexus.modules.inventario.submodules | [SUBMODULOS INVENTARIO] __init__.py cargado (managers temporalmente deshabilitados)
2025-08-26 12:36:55 | INFO     | rexus.modules.inventario.submodules | [SUBMODULOS INVENTARIO] __init__.py cargado (managers temporalmente deshabilitados)
2025-08-26 12:37:27 | INFO     | rexus.modules.inventario.submodules | [SUBMODULOS INVENTARIO] __init__.py cargado (managers temporalmente deshabilitados)
2025-08-26 12:37:43 | INFO     | rexus.modules.inventario.submodules | [SUBMODULOS INVENTARIO] __init__.py cargado (managers temporalmente deshabilitados)
2025-08-26 12:37:57 | INFO     | rexus.modules.inventario.submodules | [SUBMODULOS INVENTARIO] __init__.py cargado (managers temporalmente deshabilitados)
2025-08-26 12:38:17 | INFO     | rexus.modules.inventario.submodules | [SUBMODULOS INVENTARIO] __init__.py cargado (managers temporalmente deshabilitados)
